,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.52025705942
1,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520257046745
2,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.520257046745
3,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257046745
4,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257046745
5,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.520257042732
6,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.520257042732
7,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520257042732
8,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.52025703843
9,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.52025703843
10,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.52025703843
11,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.52025703843
12,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.520257037824
13,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520257037824
14,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257037824
15,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
16,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520257032207
17,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025703129
18,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.52025703129
19,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520257028576
20,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257028576
21,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.52025702837
22,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.52025702837
23,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.520257028355
24,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.520257028355
25,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.520257028125
26,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.520257028125
27,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520257028125
28,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
29,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
30,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.520257027798
31,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.520257027798
32,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520257027798
33,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.520257023803
34,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.520257023803
35,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.520257023803
36,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520257019383
37,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.520257019383
38,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520257017437
39,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.520257017437
40,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.520257017437
41,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.520257017437
42,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.520257017288
43,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.520257017288
44,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.520257017288
45,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.520257017288
46,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.52025699965
47,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.52025699965
48,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520256255022
49,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025624634
50,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.52025624634
51,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025624097
52,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.52025624097
53,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.52025624097
54,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520256238895
55,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.520256238895
56,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256238895
57,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.520256236596
58,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.520256236596
